Isocortex
PTLp
PTLp2/3
PTLp6a
PTLp6b
VISrl
VISrl1
VISrl2/3
VISrl4
VISrl5
VISrl6a
VISrl6b
PTLp1
PTLp4
PTLp5
VISa
VISa2/3
VISa1
VISa4
VISa5
VISa6a
VISa6b
ACA
ACAd
ACAd2/3
ACAd6a
ACAd6b
ACAd1
ACAd5
ACAv
ACAv2/3
ACAv1
ACAv5
ACAv6a
ACAv6b
ACA6a
ACA6b
ACA1
ACA5
ACA2/3
ILA
ILA1
ILA2/3
ILA2
ILA5
ILA6a
ILA6b
AI
AId
AId2/3
AId6a
AId6b
AId1
AId5
AIp
AIp1
AIp2/3
AIp6a
AIp5
AIp6b
AIv
AIv6a
AIv2/3
AIv6b
AIv1
AIv5
FRP
FRP1
FRP2/3
FRP5
FRP6a
FRP6b
AUD
AUDp
AUDp2/3
AUDp1
AUDp4
AUDp5
AUDp6a
AUDp6b
AUDd
AUDd6a
AUDd6b
AUDd5
AUDd1
AUDd2/3
AUDd4
VISlla
VISlla2/3
VISlla4
VISlla1
VISlla5
VISlla6a
VISlla6b
AUDv
AUDv6a
AUDv6b
AUDv2/3
AUDv1
AUDv4
AUDv5
AUDpo
AUDpo6a
AUDpo6b
AUDpo2/3
AUDpo1
AUDpo4
AUDpo5
RSP
RSPd
RSPd6a
RSPd6b
RSPd2/3
RSPd1
RSPd4
RSPd5
RSPv
RSPv2/3
RSPv1
RSPv6a
RSPv2
RSPv6b
RSPv5
RSPagl
RSPagl6b
RSPagl1
RSPagl5
RSPagl6a
RSPagl2/3
VISmma
VISmma1
VISmma2/3
VISmma4
VISmma5
VISmma6a
VISmma6b
VISmmp
VISmmp1
VISmmp2/3
VISmmp4
VISmmp5
VISmmp6a
VISmmp6b
VISm
VISm1
VISm2/3
VISm4
VISm5
VISm6a
VISm6b
SS
SS5
SSp
SSp-bfd
SSp-bfd2/3
SSp-bfd1
SSp-bfd6a
SSp-bfd4
SSp-bfd6b
SSp-bfd5
VISrll
VISrll1
VISrll4
VISrll5
VISrll6a
VISrll6b
VISrll2/3
SSp-ll
SSp-ll2/3
SSp-ll6a
SSp-ll6b
SSp-ll1
SSp-ll4
SSp-ll5
SSp-m
SSp-m6b
SSp-m2/3
SSp-m1
SSp-m4
SSp-m5
SSp-m6a
SSp2/3
SSp-n
SSp-n1
SSp-n4
SSp-n5
SSp-n2/3
SSp-n6a
SSp-n6b
SSp-tr
SSp-tr6a
SSp-tr6b
SSp-tr2/3
SSp-tr1
SSp-tr4
SSp-tr5
SSp-ul
SSp-ul1
SSp-ul4
SSp-ul5
SSp-ul2/3
SSp-ul6b
SSp-ul6a
SSp6a
SSp6b
SSp1
SSp4
SSp-un
SSp-un1
SSp-un4
SSp-un5
SSp-un6a
SSp-un6b
SSp-un2/3
SSp5
SSs
SSs2/3
SSs6a
SSs1
SSs6b
SSs4
SSs5
SS1
SS2/3
SS4
SS6a
SS6b
MO
MO1
MO2/3
MO5
MO6a
MO6b
MOp
MOp1
MOp5
MOp6a
MOp6b
MOp2/3
MOs
MOs1
MOs5
MOs2/3
MOs6a
MOs6b
TEa
TEa1
TEa4
TEa5
TEa6a
TEa6b
TEa2/3
VIS
VISp
VISp6a
VISp6b
VISp1
VISp4
VISp5
VISp2/3
VISam
VISam1
VISam4
VISam5
VISam6b
VISam6a
VISam2/3
VISal
VISal5
VISal6a
VISal6b
VISal2/3
VISal1
VISal4
VISl
VISl6a
VISl6b
VISl1
VISl4
VISl5
VISl2/3
VISpl
VISpl2/3
VISpl6a
VISpl6b
VISpl1
VISpl4
VISpl5
VIS6a
VIS6b
VISpm
VISpm2/3
VISpm6a
VISpm6b
VISpm4
VISpm5
VISpm1
VIS2/3
VIS1
VIS4
VIS5
VISli
VISli1
VISli5
VISli6a
VISli6b
VISli2/3
VISli4
VISpor
VISpor1
VISpor2/3
VISpor4
VISpor5
VISpor6a
VISpor6b
VISC
VISC6b
VISC6a
VISC1
VISC4
VISC5
VISC2/3
ORB
ORB1
ORB5
ORB6a
ORB2/3
ORB6b
ORBl
ORBl2/3
ORBl6a
ORBl1
ORBl6b
ORBl5
ORBm
ORBm1
ORBm2
ORBm2/3
ORBm5
ORBm6a
ORBm6b
ORBv
ORBvl
ORBvl2/3
ORBvl6a
ORBvl6b
ORBvl1
ORBvl5
ECT
ECT2/3
ECT1
ECT6a
ECT5
ECT6b
PERI
PERI6a
PERI6b
PERI1
PERI5
PERI2/3
PL
PL6a
PL6b
PL1
PL2
PL2/3
PL5
GU
GU1
GU4
GU2/3
GU5
GU6a
GU6b
